"ID","Predict"
"23","Clinical Laboratory Compliance Improvement Act of 2004 - Amends title XVIII (Medicare) of the Social Security Act to require each provider or clinical laboratory approved for participation under this Act to provide clinical diagnostic laboratory tests to post to employees that indicates the manner as an manner as an indication of noncompli"
"24","Amends the Internal Revenue Code to: (1) provide bonds for electric Output Facilities. Requires the bond issued before enactment of the Comprehensive Electricity Competition Act (FCC) to be made without regard to any permissible competitive actions taken by the issuer if the issuer"
"25","United States-Afghanistan Status of Forces Agreement (SOFA) Act of 2011 - Directs the President to seek to negotiate and enter into a bilateral status of forces agreement with the Government of Afghanistan to: (1) prohibit the permanent basing or military presence of United States Armed Forces"
"26","Amends Federal criminal code to require the Secretary of Veterans Affairs to implement a system by which persons with limited English proficiency to meaningfully access the services provided by the Department of Veterans Affairs (VA) to ensure that such counseling and services are available to that veteran in both English and a language other than English"
"27","Enduring Defense Support to Catastrophic Incident Response Act of 2008 - Amends the Federal criminal code to require the Department of Defense to undertake civil support operations to catastrophic incidents in the United States. Requires the Secretary of Defense to undertake civil support operations to catastrophic incidents in the United"
"28","Energy Security Act of 2011 - Establishes the National Energy Security Council to coordinate the activities and policies of the Federal Government to ensure. to ensure. to the maximum extent practicable. that the United States meets: (1) goals for reducing oil dependence. oil imports. and oil consumption; and (2) other"
"29","Return of Talent Act - Amends the Immigration and Nationality Act to direct the Secretary of Homeland Security to establish the Return of Talent Program to permit eligible aliens to temporarily return to the alien's country of citizenship to temporarily return to the alien's country of citizenship to temporarily return to the alien'"
"30","Amends Federal criminal code to authorize the Secretary of Education to: (1) provide educational assistance to an individual for pursuit of a course or courses; (2) fail to receive credit or training time toward completion of the individual's approved educational. professional. or vocational objective as a result of having to discontinue."
"31","Strategicegic SetsCountal of Agencies for Meaningful Placement Act of 2018 orSWAMP Act - Requires the Administrator of General Services to establish a process to issue a solicitation for the relocation of the headquarters of the headquarters of an Executive agency. Requires the"
"32","Minority Business Development Improvements Act of 2010 - Authorizes the Director of the Minority Business Development Agency ( Minority Business Development Agency (MDG) to establish the Minority Business Development Program to provide to such businesses. Authorizes the Director to enter into agreements with the United States Government and any"
"33","Climate Change Drinking Water Adaptation Research Act - Directs the Administrator of the Environmental Protection Agency (EPA) to establish and provide funding for a program of directed and applied research to be conducted through a nonprofit water research foundation and sponsored by drinking water utilities. to assist suppliers of drinking water to assist"
"34","Amends the Internal Revenue Code to allow the deduction of tax deductions for corporations."
"35","Directs the Secretary of Labor to make a grant to an eligible university to establish the Center for the Study of Women and Workplace Policy. Requires the Center to publish a best practices guide for businesses containing recommended guidelines for firms containing recommended guidelines for: (1) workplace equity. retaining women"
"36","Small Business Access to Capital Act of 2009 - Amends the Small Business Investment Act of 1958 to authorize the Small Business Investment Act of 1958 to authorize the Small Business Investment Act to allow the Small Business Investment Act to allow the Small Business Investment Act to allow the Small Business Investment Act to allow the Small Business Investment"
"37","National Commission on Fairness in the Workplace Act - Establishes the National Commission on Fairness in the Workplace (Commission) to conduct a comprehensive study of the impact of part-time employment in the United States. Requires the Commission to conduct a comprehensive study of the impact"
"38","Propane Education and Research Act of 1993 - Directs the Secretary of Energy to conduct a referendum as soon as Possible among producers and retail marketers to authorize the creation of the Propane Education and Research Council and the levying of an assessment on odorized propane. Directs the Secretary of"
"39","Renewable Energy Act for Credit on Taxes - Amends the Internal Revenue Code to allow the credit for renewable energy property made by the taxpayer during the taxable year. Allows the credit for the tax credit for the taxable year. Allows the credit for the tax credit for the taxable year"
"40","Citizens Improvement Act - Directs the Secretary of Commerce to review and report to Congress on the questions proposed to be included as the Federal or State law relating to an election for Federal or State office. Requires the Secretary of Commerce to review and report to Congress on the questions proposed to be included as"
"41","Electonic Campaign Disclosure Act of 1998 - Amends the Federal Election Campaign Act of 1971 to direct the Federal Election Campaign Act of 1971 to direct the Federal Election Campaign Act of 1971 to require the Commission to publish a public Internet Site not later than January 1. 1999. Requires the Commission to publish"
"42","Pharmacy Pharmacy Pharmacy Pharmacy Pharmacy Price Equity Act - Directs the President to issue such orders and regulations. and establish such procedures and reporting requirements to ensure that no pharmaceutical product (as defined by the President to determines to ensure that no pharmaceutical product (as defined by the President to determines to be appropriate"
"43","Prepaid Card Consumer Protection Act of 2010 - Amends the Electronic Fund Transfer Act to authorize the Electronic Fund Transfer Act to authorize the Board of Governors of the Federal Reserve System (FCC) to authorize the Board of Governors of the Federal Reserve System (FCC) to authorize the Board of Governor"
"44","Appalachian Regional Development Act Amendments of 2002 - Amends the Appalachian Regional Development Act of 1965 to authorize the President to provide technical assistance. enter into contracts. or otherwise provide funds to persons or entities in the region for projects: (1) increase affordability access to advanced telecommunications"
"45","Amends Federal Civil Air Patrol (Air Patrol) to: (1) provide the Air Force role to be administered by the Chief of Staff of the Air Force. Requires the President of the Air Force to: (1) assess the President of the Air Force. Requires the President of the Air Force"
"46","Religious of Terrorist Criminal Aliens Act of 2003 - Amends the Immigration and Nationality Act to authorize the Secretary of Homeland Security to determine whether alien is anzu anzu portable and issue a final order of removal pursuant to the procedures specified proceedings. Requires the Secretary of Homeland Security"
"47","Teenie Pregnancy Reduction Act of 1996 - Directs the Secretary of Health and Human Services (HHS) to arrange for the evaluation of a wide variety of promising programs designed to prevent pregnancy in teenagers. Requires the Secretary to: (1) provide for the participation of the Director"
"48","Children's Bicycle Helmet Safety Act of 1993 - Directs the Consumer Product Safety Administration (EPA) to: (1) enforce a law that requires individuals under the age of sixteen to wear approved bicycle helmets; (2) develop and administer a program to educate individuals under the age of sixteen to"
"49","Election Employment Verification Reauthorization Act of 2008 - Amends the IIlegal Immigration Reform and Immigrant Responsibility Act of 1996 to direct the Secretary of Homeland Security to terminate a pilot program of the first day the pilot program are in effect. Requires the Secretary of Homeland Security to terminate"
"50","Help Abuse andfraud in Electronic Lending Act of 2018 or the SAFE Lending Act of 2018 This bill amends the Electronic Fund Transfer Act to allow the consumer financial protection laws to: (1) allow the consumer financial protection laws."
"51","National Advisory Commission on Tax Reform and Simplification Act of 2001 - Establishes within the legislative branch a National Advisory Commission on Tax Reform and Simplification (Commission) to establish a quorum for conducting the business of the Commission. Requires the Commission to establish a"
"52","Amends the Foreign Assistance Act of 1961 to direct the President to submit to the appropriate committees of Congress a report identifying each country. if any. that the President proposes to be subject to the provisions of the provisions of the United Nations Convention Against IIlicit Traffic in Narcotic Drug"
"53","Veterans Health Care Facilities Capital Improvement Act of 2011 - Amends the Veterans Benefits. Health Care. and Information Technology Act of 2006 to authorize the Secretary of Veterans Affairs (VA) to carry out the Major medical facility Project of Orlando. Florida. and Information Technology Act of 2006 to authorize the Secretary of Veterans"
"54","Sportsmen's Bill of Rights Act - Amends the Federal Aid to provide that the United States to aid the States in wildlife-restoring projects. and for other purposes. Requires the Federal Aid to aid the States to aid the States in wildlife-restoring projects. and for other purposes"
"55","Veterans Construction Authorization and Expiring Authorities Extension Act of 2012 - Authorizes the Secretary of Veterans Affairs to carry out the Major medical facility projects in Miami. Florida. Authorizes the Secretary of Veterans Affairs to carry out the Major medical facility projects in Miami. Florida. Authorizes the Secretary of"
"56","Selected Reserve Home Loan Equity Act - Amends the Federal criminal code to authorize the loan fee to purchase or construct a dwelling with 0-down. or any other initial loan described as the loan fee for the loan fee for the loan fee for the loan fee for the loan fee for the loan fee"
"57","Native American $1 Coin Act - Amends Federal criminal code to provide the creation of such coin. Requires the President to mint and issue $1 coins that: (1) having as the designs on the obverse the design on the reverse chosen with the reverse chosen with the Commission of Fine Arts and"
"58","Counter Errors in Credit Use and Reporting Act or the SECURE Act - Amends the Fair Credit Reporting Act to authorize the court to award the prevailing party costs and reasonable attorney fees (including all documentation provided by the consumer or reseller's consumer or reseller's consumer or"
"59","Rural Rental Housing Act of 2003 - Authorizes the Secretary of Housing (DHS) to establish a project for the acquisition. rehabilitation. or construction of rental housing and related facilities in rural areas; and (2) the private sector. Requires the Secretary of Housing (DHS) to: (1)"
"60","Telecommunications Economic Opportunity Act of 1995 - Directs the Commission to require each provider of telecommunications services to submit annually a detail and verde verifiable plan for increasing its procurement from business enterprises that are owned by minorities or women to participate in procurement contracts of all providers of t"
"61","RCAF/RAF-Americans Congressional Gold Medal Act - Directs the Speaker of the House of Representatives and the President pro tempore of the Senate to make appropriate arrangements for the presentation of the presentation. Requires the President pro tempore of the Senate to make appropriate arrangements for"
"62","Appalachian Regional Commission Reform Act - Authorizes the Commission to: (1) regional commissions. regions as the Delta Regional Authority. the Denali Commission. and the Northern Border Regional Commission. each headquartered in their respective region; (2) headquartering regional commissions within the region affected. Requi"
"63","New Aid for Trustworthy. Affordable Drugs Act (NAFTA Drugs Act (NAFTA Drugs Act (NAFTA Drugs Act (NAFTA Drugs Act (NAFTA Drugs Act (NAFTA Drugs Act (NAFTA Drugs Act (NAFTA"
"64","Medial Valley Desert Conservation and Recreation Act - Establishes the Vinagre Wash Special Management Area to: (1) acquire a joint Memorandum of Understanding with the Imperial County Board of Supervisors. the Department of Defense to: (1) acquire a joint Memorandum of Understanding with the Imperial"
"65","Workplace Employee Stock Option Act of 2002 - Amends the Internal Revenue Code to allow the individual to acquire stock payment of stock to an individual by reason of the transfer of stock to an individual by reason of the transfer of stock to an individual by reason of the rule. Requires the amount of"
"66","Climate Change Investment Act of 2006 - Amends the Internal Revenue Code to allow the Corporation of the Treasury to allow the Corporation of the Treasury to allow the Corporation of the Treasury to allow the Corporation of the Treasury to: (1) authorize the Corporation of the Treasury to: (1) authorize the Corporation of the Treasury to:"
"67","Firefighter Assistance Act of 2001 or the SAFER Act of 2001 - Amends the Workforce Investment Act of 1998 to authorize the Secretary of Labor to make grants to eligible entities to pay for the federal share of the cost of carrying out projects to hire firefighters. Requires the Secretary to make"
"68","Competitiveness Tax Credit Act - Amends the Internal Revenue Code to allow the manufacture and other productive equipment credit for any taxable year is different to the sum of: (1) the manufacture and other productive equipment credit for any taxable year is different to the sum of: (1) the domestic equipment credit for any "
"69","Keep Americans Working Act - Amends the Internal Revenue Code to require employer to certify that continuation of health benefits and retirement benefits under a defined benefit pension plan (including number of participating companies and workers. and retention of employees. Requires the Secretary of Labor (FDA) to award start"
"70","Prescription Drug Fairness for Seniors Act of 1998 - Directs the Secretary of Health and Human Services to furnish to each Medicare beneficiary a drug benefit Card that enables the beneficiary to purchase covered outpatient drug that enables the beneficiary to purchase covered outpatient drug that is listed on the Federal Supply Schedule"
"71","Energy Freedom and Economic Prosperity Act - Amends the Internal Revenue Code to repeal the credit for alcohol fuel. biodiesel. and alternative fuel mixtures. Amends the Internal Revenue Code to repeal the credit for fuel sold and used after the date of the enactment of the"
"72","Treatment of Children's Deformities Act of 1998 - Amends the Public Health Service Act to require group health plan. and a health insurance issuer offering group health insurance coverage for outpatient and inpatient diagnosis and treatment of a minor child's congenital or developmental"
"73","Building Appropriations Act - Amends the Congressional Budget Act of 1974 to authorize the congressional budget process for any fiscal year to: (1) submits his or her budget; (2) submit views and estimates to Budget Committees. Requires the congressional budget process for any fiscal year as follows:"
"74","Pointasis and Psoriatic Arthritis Research. Cure. and Care Act of 2011 - Directs the Secretary of Health and Human Services (HHS) to acting through the Director of the Center to establish a study that finds that psoriatic arthritis are autoimmune"
"75","National Commission for the New National Goal: Advancement of Global Health Act - Establishes the National Commission for the New National Goal: the Advancement of Global Health Act - Establishes the National Commission for the New National Goal: the Advancement of Global Health Act - Establishes the National"
"76","Veterans Mobility Safety Act of 2016 This bill amends the Federal criminal code to require the Secretary of Veterans Affairs to develop a comprehensive policy regarding quality standards for providers who provide modification services to veterans under the automobile adaptive equipment program. Requires the Secretary to approve two or more private. nonprofit organizations as third party"
"77","Home and Disabled Americans Criminal Protection Act of 1998 - Authorizes the Attorney General to conduct a search and exchange of records under the Federal Bureau of Investigation for any criminal history records corresponding to the fingerprints or other positive identification submitted. Authorizes the Attorney General to conduct a search and"
"78","Amends Federal criminal code to authorize the Secretary of the Interior to: (1) allow the enforcement officer of the Refuge Division of the Department of the Interior. Amends the Federal criminal code to: (1) allow the enforcement officer of the Refuge Division of the Department of the Interior. Amends the Federal criminal code"
"79","Veterans Weapons Prohibition Act of 1993 - Amends Federal criminal code to prohibit any person to transfer an assault weapon. Requires the Secretary of the Treasury to recommend to the Congress that the definition of an assault weapon. Requires the Secretary of the Treasury to recommend to the Congress"
"80","Small Business Procurement Assistance Act of 1993 - Amends the Small Business Act to require the Small Business Act to: (1) allow small business concerns owned and controlled by women. Amends the Small Business Act to: (1) allow Small business concerns owned and controlled by women. Amends the Small Business"
"81","Open Our Democracy Act of 2014 - Directs the Secretary of the House of Representatives to be elected to such office pursuant to the following elections held by the State in which the candidate seeks election: (1) single open primary election for each office of Member of the House of Representatives to stand a single"
"82","Twenty-First Amendment Enforcement Act - Amends the Federal Act to require the attorney General to: (1) provide a civil action to: (1) restrain the person from engaging. or continuing to engage. in the violation; and (2) enforce compliance with the State law. Authorizes the District courts of the"
"83","Natural Gas Reserve Act of 2001 - Amends the Energy Policy and Conservation Act to direct the Secretary of Energy to establish. maintain. and operate a Natural Gas Reserve. Authorizes the Secretary of Energy to establish. maintain. and operate a Natural Gas Reserve. Authorizes the Secretary of Energy"
"84","Technewology for the Classroom Act of 1993 - Authorizes the Secretary of Education to award grants to states to carry out activities to Develop and expand the use of high quality curriculum-based learning resources using state-of-the-art technologies and techniques that are or Can bedesigned to increase the achievement levels"
"85","Financial Medical Education Act - Amends title XVIII of the Social Security Act to authorize the Secretary of Health and Human Services to provide for payment to the center for direct graduate medical education costs for federally-qualified health center that participates in an approved medical residency training program. Requires"
"86","Federal Strategic SOurcing Vehicles. Requires the Federal Acquisition Regulatory Council to amend the Federal Acquisition Regulation to require the heads of executive agencies to the extent Possible. to use online reverse auction. or an equivalent method. as defined as defined as defined as the federal acquisition authority. Require"
"87","Biodiesel Energy Development Act of 1997 - Amends the Energy Policy and Conservation Act to require the Secretary of Energy (DOE) to require alternative fuel supply and demand program. Amends the Energy Policy and Conservation Act to require the Secretary of Energy (DOE) to: (1) provide alternative"
"88","Air Travelers Fair Treatment Act of 2001 - Amends Federal aviation aviation transportation provisions to require air carrier or foreign air carrier that may provide air transportation under the aviation carrier that are capable of carrying at least 30 passengers. Requires the Secretary of Transportation to prescribe regulations to establish minimum standards for re"
"89","Medicare Fraud Enforcement and Prevention Act of 2013 - Amends title XVIII (Medicare) of the Social Security Act to prohibit the officer. employee. or agent of the United States. or of any department or agency thereof to: (1) authorize the Secretary of Health and Human Services (SSA)"
"90","Educational Tax Credit Simplification Act of 2004 - Amends the Internal Revenue Code to allow the credit for the tax credit for the tax credit for the tax credit for the tax credit for the tax credit for the tax credit for the tax credit for the tax credit for the taxpayer during the taxable year (for"
"91","Interior Reform and Savings Act of 1993 - Amends the Helium Act Amendments of 1960 to authorize the Secretary of the Interior to prepare and implement a long-term. comprehensive plan to: (1) suspend the outstanding debt owed to the Treasury by the Department of the Interior related to the Federal "
"92","Military Math and Science Teachers of America Act of 2000 - Amends the Elementary and Secondary Education Act of 1965 to authorize the Secretary of Education to award grants for National Math and Science Teacher Scholarships on a competitive basis to qualifying higher education institutions with graduate programs in teacher training. Requires such scholarships"
"93","Ireland Subsidy Reduction Act of 1996 - Amends the Reclamation Reform Act of 1982 to authorize the Secretary of Agriculture to: (1) conduct of equipment- and labor-sharing activities on separate parcels of land. Requires the proprietor of the Federal reclamation Reform Act of"
"94","Hospital Price Disclosure Act of 2005 - Ambulatory Surgical Centers for Certain Confpatient and Outpatient Drugs and Public Posting. Requires the Secretary of Health and Human Services to report to the Secretary of Health and Human Services to report to the Secretary of Health and Human Services to report to"
"95","Preserving Equitable Access to Community-based Home Health Act of 2009 - Amends title XVIII of the Social Security Act to require the Secretary of Health and Human Services (HHS) to: (1) designate a Home Health agency (PEACH agency) to: (1) designate"
"96","Long Island Sound Stewardship Act of 2004 - Establishes the Long Island Sound Stewardship System regions to encompass the immediate coastal upland and underwater areas along Long Island Sound. Requires the Chairperson of the Long Island Sound Stewardship System regions to encompass the immediate coastal upl"
"97","Strengthening the Transition and Reintegration of the National Guard and Reserves Act or theSTRONGR Act - Amends the Federal criminal code to increase the amount of assistance for such assistance for members of reserve components for mental health care. Requires the Secretary of Veterans Affairs (VA)"
"98","Medicare Cash and Counseling Program Act of 2005 - Amends title XIX (Medicaid) of the Social Security Act to authorize the Secretary of Health and Human Services (SSA) to provide for self-directed personal assistance services under the plan. Requires the Secretary of Health and Human"
"99","Manhattan Project National Historical Park Act - Establishes the Manhattan Project National Historical Park. Requires the Historical Park to consist of facilities and areas listed under the Historic Park. Requires the Historical Park to consist of facilities and areas listed under the Historic Park. Requires the Historical Park"
"100","Ghanaistan and Central Asian Republics Sustainable Food Production Act of 2001 - Directs the Administrator of the United States Agency for International Development (FEMA) to provide assistance to nongovernmental organizations for the purpose of carrying out activities related to emergencies or disasters; (2) extend foodproduction. processing. or marketing enterprises"
"101","Radio Broadcasting Preservation Act of 2000 - Directs the Federal Communications Commission (FCC) to modify the rules authorizing the operation of low-power FM radio stations. Requires the Federal Communications Commission (FCC) to modify the rules articleizing the operation of low-power FM radio stations"
"102","Military Readiness Enhancement Act of 2010 - Amends the National Defense Authorization Act for Fiscal Year 1994 to prohibit any person seeking to become a member of the armed forces. Requires the Secretary of Defense to prohibit the Secretary of Defense. and the Secretary of Homeland Security to respect to"
"103","Selling Main Street FIRST Act or the Put Main Street FIRST Act or the Put Main Street FIRST Act or the Put Main Street FIRST Act or the Put Main Street FIRST Act or the Put Main Street FIRST Act or the Put Main Street FIRST (Putting Main Street FIRST (pronounced the Put Main Street FIRST) and the Put Main"
"104","Amends the Internal Revenue Code to allow the person who on the credit allowance. Requires the Secretary of the Treasury to: (1) provide the credit for the credit for the credit for the credit for the credit for the credit for the credit for the credit for the credit for the credit for the credit for"
"105","First Responders Support Act of 2008 - Amends the Omnibus Crime Control and Safe Streets Act of 1968 to authorize the Attorney General to promulgate regulations to carry out the amendments of the Omnibus Crime Control and Safe Streets Act of 1968 to require the Attorney General to promulgate regulations"
"106","Turkish Human Rights Act - Requires the Secretary of State to: (1) establish the economic support fund) to Turkish to $21-2 million because of Turkish human rights abuses by the Government of Turkey. Requires the Secretary of State determines that there Has been significant progress as the Government of Turkey"
"107","Millenniumrobicide Development Act - Authorizes the Secretary of Health and Human Services (HHS) to establish the Secretary of Health and Human Services (HHS) to establish the Secretary of Health and Human Services (HHS) to establish the Secretary of Health and Human Services (HHS) to establish the"
"108","Environmental Finance Act of 1995 - Directs the Administrator of the Environmental Protection Agency to establish an Environmental Financial Advisory Board to provide Expert advice and recommendations to Congress and the Administrator on issues. trends. options. innovations. and tax matters affecting the cost and financing of environmental protection by State and local governments; and"
"109","Effective Terrorists Prosecution Act of 2006 - Amends the Military Commissions Act of 2006 to exclude the right of the defendant to a fair trial. Amends the Military Commissions Act of 2006 to exclude the admission of the evidence demonstrates that the evidence is unbereliable or"
"110","Protectting Consumer Phone Records Act - Authorizes the Secretary of Commerce to: (1) acquire or use the customer proprietary network information of another person without that person's affirmative written consent that meets the requirements of the Electronic Signatures in Global and National Commerce Act to require the disclosure of such information; (2) obtain"
"111","Amends the Federal criminal code to authorize the Secretary of Veterans to conduct a program for honoring the memory of covered individuals by preparing and sending to eligible recipients a certificate bearing the signature of the President and expressing the country's death. Requires the Veteran's death. Re"
"112","National Oceanic and Atmospheric Administration Atmospheric and Satellite Program Authorization Act of 1993 - Authorizes the Secretary of Commerce to carry out the operations and research duties of the National Weather Service. $473.255.000 for FY 1995. Authorizes the Secretary to enable the"
"113","Amends the Internal Revenue Code to prohibit the program to be excluded from taxation of tax onunrelated business income of charitable organizations."
"114","Care Act of 2007 - Amends the Federal criminal code to require the Attorney General to establish and maintain a program to provide to each eligible individual treatment for HIV/AIDS throughout the treatment period. Requires the Attorney General to: (1) provide for the patient treatment for HIV/AIDS throughout the treatment"
"115","TraDe Accountability Study Act - Establishes the Trade Impact Review Commission to: (1) determine the extent to which exports of goods of the United States to NAFTA countries. and imports of goods of NAFTA countries to NAFTA countries. Establishes the TraDe Impact Review"
"116","Animal Disease Risk Assessment. Prevention. and Control Act of 2001 - Authorizes the Secretary of Agriculture to require billions of dollars for remedial activities by consumers. producers. and distributors of meat and blood products; (2) the potential introduction of such diseases into the United States would cause devastating financial losses to:"
"117","Department of Veterans Affairs Information Security Protection Act - Amends Federal criminal code to authorize the Secretary of Veterans' Affairs of the Senate and House of Representatives. Requires the Secretary of Defense to submit to the Committees on Veterans' Affairs of the Senate and House of Representatives. Require"
"118","College Literacy in Finance and Economics Act of 2011 or the college LIFE Act - Amends the Higher Education Act of 1965 to require the Secretary of Education to provide financial literacy counseling to borrowers on the following requirements of the requirements of the Federal Education Act of 1965 to require the Secretary of Education to"
"119","Amends title XVIII (Medicare) of the Social Security Act to require the Secretary of Health and Human Services (HHS) to: (1) Develop a standardized certificates of medical equipment and supplies. Requires the Secretary of Health and Human Services (HHS) to: (1)"
"120","Cold Energy Research Authorization Act of 1994 - Directs the Secretary of Energy to carry out the Fusion Energy Research Program (Fusion Energy Research Program (Fusion Energy Research) of 1994 - Directs the Secretary of Energy to carry out the Federal government to carry out the Federal government to carry out the Federal"
"121","Native American Agricultural Research. Development and Export Enhancement Act of 2000 - Authorizes the Secretary of Agriculture to provide the maximum benefit to Indian tribes and its members; (2) encourage intertribal. regional. and international trade and business development to assist as increasing productivity and the standard of living of members of"
"122","High School Sports Information Collection Act of 2009 - Amends the Education Sciences Reform Act of 2002 to require the Statistics Commissioner to collect. annually. for the immediately preceding academic year. from each coeducational secondary school that receives federal financial assistance that has an athletic program. Requires the Secretary"
"123","Veterans Refugee Assistance Act - Directs the Secretary of Homeland Security to that of an alien lawfully admitted for permanent residence. if the alien-a dependent of an alien lawfully admitted for permanent residence. if the alien-as alien-a dependent of an alien lawfully admitted for permanent residence"
"124","Educational and Secondary School Counseling Improvement Act of 2001 - Amends the Elementary and Secondary Education Act of 1965 to authorize the Secretary of Education to award grants to local educational agencies to establish or expand elementary school and secondary school counseling programs. Requires the Secretary to award grants to local educational agencies to establish"
"125","Veterans Faith in Veterans Act of 2008 - Amends the Federal criminal code to require covered employees to successfully complete a certification program established by the Secretary of Veterans Affairs (VA) to require covered employees to successfully complete a certification program established by the Secretary of Veterans Affairs (VA) to require covered employees to"
"126","Borderficiary Access to Care Act of 2003 - Amends title XVIII (Medicare) of the Social Security Act to require the Secretary of Health and Human Services (SSA) to treat as a separate group of covered OPD services. Requires the Secretary of Health and"
"127","Geneerating American Income and Infrastructure Now Act - Directs the Secretary of Agriculture to sell. under terms established by the Secretary of the Treasury. distressed notes and other obligations held by the Department of Agriculture to sell. under terms established by the Secretary of the Treasury. distressed notes and other obligations held by the Department"
"128","National Youth Summer Jobs Act of 2011 - Directs the Secretary of Labor to award competitive grants to eligible entities for the purpose of providing job placement during the summer for Out-of-school youths. Requires the Secretary of Labor to award competitive grants to eligible entities for the purpose of providing job placement"
