"ID","Predict"
"13","Robt S. Walker and George E. Brown. Jr. Hydrogen Energy Act of 2001 - Amends the Spark M. Matsunaga Hydrogen Research. Development. and Demonstration Act of 1990 - Amends the Spark M. Matsunaga Hydrogen Research"
"14","Mercury Health Advisory Act of 2003 - Authorizes the Secretary of Health and Human Services to establish appropriate advisories for the distribution to the public of explanations of the potential adverse effects of mercury exposure through the consumption of fish products; (2) require the Secretary of Health and Human Services to work cooperatively"
"15","Directs the Secretary of Energy to enter into 1- or more long-term contracts for the procurement. from a facility located within 25 miles of a current or former Department of Energy defense nuclear facility. of products and services that are determined by the Secretary to be necessary to support waste cleanup and modernization activities At"
"16","Health Care Fraud Prevention and Paperwork Reduction Act of 2000 - Establishes the Commission on Billing Codes and Forms Simplification (HHS) to establish a process under which a physician may request. in writing from a carrier. assistance in addressing questionable codes and procedures"
"17","State Innovation Pilot Act of 2011 - Amends the Elementary and Secondary Education Act of 1965 to direct the Secretary of Education to waive any statutory or regulatory requirement of the Act for a State educational agency. local educational agency. Indian tribes to implement alternative and innovative strategies to improve student academic achievement and otherwise"
"18","No Second Chances for Murderers. Rapists. or Child Molesters Act of 1998 - Directs the Attorney General to administer the transfer of the following amounts FROM Federal law enforcement assistance funds of the State that convicted of a prior offense. Directs the Attorney General to collect and distribute"
"19","Amends the Internal Revenue Act of 1986 to revise the value of the gross estate with respect to the value of any qualified historic property included to the value of any qualified historic property included to the value of any qualified historic property included to the value of any qualified historic property included to the value of any qualified"
"20","Constributions Legally Interdicted from Noncitizens To Our Nonprofits Act of 2016 or the CLINTON Act of 2016 This bill amends the Internal Revenue Code to prohibit a Federal official organization (FIR) with respect to any period after the date on which such organization "
"21","Reduce Expenditures in Nuclear Infrastructure Now Act or theREIN-IN Act This bill authorizes the funds authorized to be appropriated or otherwise made available for FY2014 or any fiscal year thereafter for the Department of Defense or the Department of Energy to be used to make the F-35 Joint Str"
"22","Amends the Internal Revenue Code to prohibit any political organization for any taxable year if: (1) all excess campaign contributions received by such organization during such taxable year shall be excluded in gross income and the exemptions received by such organization during such taxable year. Amends the Internal Revenue Code to:"
"23","Clinical Laboratory Compliance Improvement Act of 2004 - Amends title XVIII (Medicare) of the Social Security Act to require each provider or clinical laboratory approved for participation under this Act to provide clinical diagnostic laboratory tests to post in a conspicuous place a notice to employees that indicates the manner"
"24","Amends the Internal Revenue Code to require any qualified refunding bond. Requires such bonds issued before enactment of the Comprehensive Electricity Competition Act. Requires any bond issued before enactment of the Comprehensive Electricity Competition Act (FCC) to be made without"
"25","United States-Afghanistan Status of Forces Agreement (SOFA) Act of 2011 - Directs the President to seek to negotiate and enter into a bilateral status of forces agreement with the Government of Afghanistan to: (1) prohibit the permanent basing or military presence of United States Armed Forces"
"26","Directs the Secretary of Veterans Affairs to implement a system by which persons with limited English proficiency to meaningfully access the services provided by the Department of Veterans Affairs. Requires the Secretary to implement a system by which persons with limited English proficiency to meaningfully access the services provided by the Department of Veterans"
"27","Enduring Defense Support to Catastrophic Incident Response Act of 2008 - Amends the Federal criminal code to require the Department of Defense to undertake civil support operations to catastrophic incidents in the United States. Requires the Secretary of Defense to undertake civil support operations to catastrophic incidents in the United"
"28","Energy Security Act of 2011 - Establishes the National Energy Security Council to coordinate the activities and policies of the Federal Government to ensure. to the maximum extent practicable. that the United States meets: (1) goals for reducing oil dependence. oil imports. and oil consumption; and (2) other energy policy goals"
"29","Return of Talent Act - Amends the Immigration and Nationality Act to direct the Secretary of Homeland Security to establish the Return of Talent Program to permit eligible aliens to temporarily return to the alien's country of citizenship to temporarily return to the alien's country of citizenship to temporarily return to the alien'"
"30","Amends Federal criminal code to authorize the Secretary of Health and Human Services (HHS) to: (1) establish the payment of educational assistance to an individual for pursuit of a course or courses; (3) fail to receive credit or training time toward completion of the individual's approved educational. professional. or vocational objective"
"31","Strategyegic Overdrawal of Agencies for Meaningful Placement Act of 2018 orSWAMP Act - Requires the Administrator of General Services to establish a process for Relocation of Headquarters. Requires the Administrator of General Services to establish a process for Relocation of Headquarters."
"32","Minority Business Development Improvements Act of 2010 - Authorizes the Director of the Minority Business Development Agency to establish the Minority Business Development program to assist qualified minority businesses. Authorizes the Director to enter into agreements with the United States Government and any department. agency. or officer thereof having procurement powers"
"33","Climate Change Drinking Water Adaptation Research Act - Directs the Administrator of the Environmental Protection Agency (EPA) to establish and provide funding for a program of directed and applied research to be conducted through a nonprofit water research foundation and sponsored by drinking water utilities to assist suppliers of drinking water to assist suppliers"
"34","Amends the Internal Revenue Code to allow a deduction for interest paid or accrued during the taxable year. Requires each corporation shall be increased by the adjusted taxable income of the corporation during the taxable year; (2) reduce the amount of the dividends paid by the corporation during the"
"35","Directs the Secretary of Labor to make a grant to an eligible university to establish the Center for the Study of Women and Workplace Policy (CDC) to compile and analyze available data and data sets on the difference between the earnings of men and women. including the Panel Study of Income Dynamic housed At"
"36","Small Business Access to Capital Act of 2009 - Amends the Small Business Investment Act of 1958 to revise the Small Business Investment Act of 1958 to revise the Small Business Investment Act of 1958 to authorize the Small Business Investment Act of 1958 to authorize the Small Business Investment Act of 1958 to authorize the"
"37","National Commission on Fairness in the Workplace Act - Establishes the National Commission on Fairness in the Workplace (Commission) to conduct a comprehensive study of the impact of Part-time employment in the United States. Requires the Commission to conduct a comprehensive study of the impact"
"38","Propane Education and Research Act of 1993 - Directs the Secretary of Energy to conduct a referendum as soon as Possible among producers and retail marketers to authorize the creation of the Propane Education and Research Council and the levying of an assessment on odorized propane. Requires the"
"39","Renewable Energy Act for Credit on Taxes - Amends the Internal Revenue Code to allow a credit against the tax imposed by this Act for the taxable year an amount equal to 35 percent of the expenditures for renewable energy property made by the taxpayer during the taxable year. Require"
"40","Citizens Improvement Act - Directs the Secretary of Commerce to review and report to Congress on the questions proposed to be included in the 2010 census of population. Requires the Secretary of Commerce to review and report to Congress on the questions proposed to be included in the 2010 census of population and the American Community Survey"
"41","Electonic Campaign Disclosure Act of 1998 - Amends the Federal Election Campaign Act of 1971 to direct the Federal Election Campaign Act of 1971 to establish a public Internet Site not later than January 1. 1999. Amends the Federal Election Campaign Act of 1971 to establish a public Internet Site not later than January"
"42","Pharmacy Pharmacy Products Price Equity Act - Directs the President to issue such orders and regulations. and establish such procedures and reporting requirements. as the President determines to be appropriate to ensure that no pharmaceutical product (as defined by the President in such regulation or order) are sold to any consumer in the United States"
"43","Prepaid Card Consumer Protection Act of 2010 - Amends the Electronic Fund Transfer Act to authorize the Bureau of Governors of the Federal Reserve System (EPA) to authorize the Board of Governors of the Federal Reserve System (EPA) to authorize the Board of Governors of the Federal Reserve System (EPA)"
"44","Appalachian Regional Development Act Amendments of 2002 - Amends the Appalachian Regional Development Act of 1965 to authorize the President to provide technical assistance. enter into contracts. or otherwise provide funds to persons or entities in the region for projects: (1) increase affordability access to advanced telecommunications"
"45","Directs the Secretary of the Air Force to appoint a National Board of Directors for the Civil Air Patrol. under the direction of the Secretary of the Air Force. under the direction of the Secretary of the Air Force. Directs the Secretary of the Air Force. under the direction of the Secretary of"
"46","Removal of Terrorist Criminal Aliens Act of 2003 - Amends the Immigration and Nationality Act to authorize the Secretary of Homeland Security (DHS) to: (1) determine whether alien is Deportable and issue a final order of removal pursuant to the procedures set forth to the procedures"
"47","Teaching Pregnancy Reduction Act of 1996 - Directs the Secretary of Health and Human Services (HHS) to establish an information clearinghouse to be known as the National Clearinghouse on Teenage Pregnancy Prevention Programs. Requires the Secretary of Health and Human Services (HHS"
"48","Children's Bicycle Helmet Safety Act of 1993 - Directs the Consumer Product Safety Administration to: (1) enforce a law that requires individuals under the age of sixteen to wear approved bicycle helmets; (2) develop and administer a program to educate individuals under the age of sixteen to wear approved bicycle"
"49","Election Employment Verification Reauthorization Act of 2008 - Amends the IIlegal Immigration Reform and Immigrant Responsibility Act of 1996 to direct the Secretary of Homeland Security (DHS) to terminate a pilot program as the end of the eleven-year period beginning on the first day the pilot program are"
"50","Safepping Abuse andfraud in Electronic Lending Act of 2018 or the SAFE Lending Act of 2018 This bill amends the Electronic Fund Transfer Act to allow a consumer voluntarily agrees to repay an extension of a small-dollar consumer credit transaction. Amends the Electronic Fund Transfer Act"
"51","National Advisory Commission on Tax Reform and Simplification Act of 2001 - Establishes the National Advisory Commission on Tax Reform and Simplification Act of 2001 - Establishes within the legislative branch a National Advisory Commission on Tax Reform and Simplification. or replacing the Internal Revenue Code of 1986."
"52","Amends the Foreign Assistance Act of 1961 to direct the President to submit to the appropriate committees of Congress a report identifying each country. Requires the President to submit to the appropriate committees of Congress a report identifying each country. if any. that the President proposes to"
"53","Veterans Health Care Facilities Capital Improvement Act of 2011 - Amends the Veterans Benefits. Health Care. and Information Technology Act of 2006 to authorize the Secretary of Veterans Affairs (VA) to carry out the Major Medical Facility Project At Department of Veterans Affairs Medical Center in Orlando. Florida. and Information Technology Act of"
"54","Sportsmen's Bill of Rights Act - Amends the Federal Aid to provide that the United States to aid the States as limited by the state in which the Federal public land or water. or (2) limited by the Federal agency responsible for the federal public land or water. Requires the authority"
"55","Veterans Construction Authorization and Expiring Authorities Extension Act of 2012 - Authorizes the Secretary of Veterans Affairs (VA) to carry out the Major medical facility projects in Miami. Florida. Authorizes the Secretary of Veterans Affairs to carry out the Major medical facility projects in Miami. Florida. Authorizes"
"56","Selected Reserve Home Loan Equity Act - Amends the Federal criminal code to authorize the loan fee to purchase or construct a dwelling with 0-down. or any other initial loan described to purchase or construct a dwelling with 0-down. or any other initial loan described with 5-down or 10-down"
"57","Native American $1 Coin Act - Amends Federal law to require the Secretary of the Treasury to mint and issue $1 coins that celebrate the important contributions made by Indian tribes and individual Native Americans to the development of the United States and the history of the United States and the history of the United States and the history"
"58","Counter Errors in Credit Use and Reporting Act or the SECURE Act - Amends the Fair Credit Reporting Act to authorize the court to award injunctive relief to require compliance with the requirements imposed under the Fair Credit Reporting Act to require compliance with the requirements imposed"
"59","Rural Rental Housing Act of 2003 - Amends the United States Housing Act of 1937 to direct the Secretary of Housing and Human Services (HUD) to establish a project for the acquisition. rehabilitation. or construction of rental housing and related facilities as eligible rural area for occupancy by low-income families; and"
"60","Telecommunications Economic Opportunity Act of 1995 - Directs the Commission to require each provider of telecommunications services to submit annually a detail and verde verifiable plan for increasing its procurement from business enterprises that are owned by minorities or women. Requires each provider of telecommunication"
"61","RCAF/RAF-Americans Congressional Gold Medal Act - Directs the Speaker of the House of Representatives and the President pro tempore of the Senate to make appropriate arrangements for the presentation. Directs the Speaker of the House of Representatives and the President pro tempore of the Senate to"
"62","Appalachian Regional Commission Reform Act - Requires the Commission to: (1) regional commissions. such as the Delta Regional Authority. the Denali Commission. and the Northern Border Regional Commission. Requires each headquartered in their respective region; (2) headquartering regional commissions within the"
"63","New Aid for Trustworthy. Affordable Drugs Act (NAFTA Drugs Act (NAFTA Drugs Act (NAFTA Drugs Act - Amends the Federal Food. Drug. and Cosmetic Act to require the United States Trade Representative to enter into agreements with other NAFTA countries to"
"64","IImperial Valley Desert Conservation and Recreation Act - Establishes the Vinagre Wash Special Management Area to be managed by the El Centro Field Office and the Yuma Field Office and the Yuma Field Office of the Bureau of Land Management. Requires the Secretary of Transportation to transfer the"
"65","Workplace Employee Stock Option Act of 2002 - Amends the Internal Revenue Code to allow an individual with respect to the transfer of stock to an individual by reason of such transfer."
"66","Climate Change Investment Act of 2006 - Amends the Internal Revenue Code to: (1) repeal the credit for producing fuel from a nonconventional source."
"67","Stamping for Adequate Fire and Emergency Response Act of 2001 or the SAFER Act of 2001 - Amends the Workforce Investment Act of 1998 to authorize the Secretary of Labor to make grants to eligible entities to pay for the federal share of the cost of carrying out projects to hire firefighters. Require"
"68","Competiveness Tax Credit Act - Amends the Internal Revenue Code to allow the manufacture and other productive equipment credit for any taxable year."
"69","Keep Americans Working Act - Amends the Internal Revenue Code to require an employer to certify that continuation of health benefits and retirement benefits under a defined benefit pension plan."
"70","Prescription Drug Fairness for Seniors Act of 1998 - Directs the Secretary of Health and Human Services (HHS) to furnish to each Medicare beneficiary a drug benefit Card that enables the beneficiary to purchase covered outpatient drug that is listed on the Federal Supply Schedule of the General Services Administration (GD"
"71","Energy Freedom and Economic Prosperity Act - Amends the Internal Revenue Code to repeal the credit for alcohol fuel. biodiesel. and alternative fuel mixtures."
"72","Protectment of Children's Deformities Act of 1998 - Amends the Public Health Service Act to require group health plan. and a health insurance issuer offering group health insurance coverage to provide coverage for outpatient and inpatient diagnosis and treatment of a minor child's congenital or"
"73","Biennial Appropriations Act - Amends the Congressional Budget Act of 1974 to authorize the congressional budget process for any fiscal year with respect to the congressional budget process for any fiscal year. Amends the Congressional Budget Act of 1974 to authorize the congressional budget process for any fiscal year"
"74","Petoriasis and Psoriatic Arthritis Research. Cure. and Care Act of 2011 - Directs the Secretary of Health and Human Services (HHS) to acting through the Director of the Center of Health and Human Services (HHS) to acting through the Director of the"
"75","National Commission for the New National Goal: Advancement of Global Health Act - Establishes the National Commission for the New National Goal: the Advancement of Global Health Act - Establishes the National Commission for the New National Goal: the Advancement of Global Health Act - Establishes the National"
"76","Veterans Mobility Safety Act of 2016 This bill amends the Federal criminal code to require the Secretary of Veterans Affairs to develop a comprehensive policy regarding quality standards for providers who provide modification services to veterans under the automobile adaptive equipment program; (2) the development of standards for safety and quality of equipment and installation of equipment through the automobile"
"77","Home and Disabled Americans Criminal Protection Act of 1998 - Authorizes the Attorney General to conduct a search and exchange of records under the Criminal Justice Information Services Division of the Federal Bureau of Investigation for any criminal history records corresponding to the fingerprints or other positive identification submitted. Authorizes the Attorney"
"78","Amends the Federal criminal code to prohibit any individual who served as a fish and wildlife officer before the effective date of the Act. Amends the Federal criminal code to require the Secretary of the Interior to: (1) allow fish and wildlife officer. Requires the Secretary of the Interior to: (1)"
"79","Veterans Weapons Prohibition Act of 1993 - Amends the Federal criminal code to prohibit any person. Requires the Secretary of the Treasury to recommend to the Congress that the definition of an assault weapon. Requires the Secretary of the Treasury to recommend to the Congress that the definition of"
"80","Women's Business Procurement Assistance Act of 1993 - Amends the Small Business Act to authorize the Small Business Act to prohibit Small business concerns owned and controlled by women. Amends the Small Business Act to authorize the Small Business Act to authorize the Small Business Act to authorize the Small Business Act to"
"81","Open Our Democracy Act of 2014 - Directs the Secretary of the House of Representatives to be elected to such office pursuant to the following elections held by the State in which the candidate seeks election: (1) single open primary election for each office of Member of the House of Representatives in the State under which"
"82","Twenty-First Amendment Enforcement Act - Amends the Webb-Kenyon Act - Amends the Webb-Kenyon Act - Amends the Webb-Kenyon Act - Amends the Webb-Kenyon"
"83","Natural Gas Reserve Act of 2001 - Amends the Energy Policy and Conservation Act to direct the Secretary of Energy to establish. maintain. and operate a Natural Gas Reserve. Requires the Secretary of Energy to establish. maintain. and operate a Natural Gas Reserve. Requires the Secretary"
"84","Technewology for the Classroom Act of 1993 - Authorizes the Secretary of Education to award grants to States to carry out activities in the plan submitted pursuant to this Act to establish a program to develop and expand the use of high quality curriculum-based learning resources using state-of-the-art"
"85","Financial Medical Education Act - Amends title XVIII (Medicare) of the Social Security Act (SSA) of the Social Security Act to authorize the Secretary of Health and Human Services to provide for payment to the center for direct graduate medical education costs for federally-qualified health center that participates"
"86","Financial Savings Reform Act of 2011 - Amends the Federal Acquisition Regulatory Council to amend the Federal Acquisition Regulation to require the heads of executive agencies. Requires the Federal Acquisition Regulation to require the heads of executive agencies. Requires the Federal Acquisition Regulation to require the heads of executive agencies"
"87","Biodiesel Energy Development Act of 1997 - Amends the Energy Policy and Conservation Act to allow alternative fuel use of alternative fuel supply and demand program. Amends the Energy Policy and Conservation Act to revise alternative fuel supply and demand program. Amends the Energy Policy and Conservation Act to"
"88","Air Travelers Fair Treatment Act of 2001 - Directs the Secretary of Transportation to prescribe regulations to establish minimum standards for resuscitation. emergency medical. and first-aid equipment and supplies to be carried on board an aircraft operated by an air carrier with an accurate explanation of the reasons for a flight"
"89","Medicare Fraud Enforcement and Prevention Act of 2013 - Amends title XVIII (Medicare) of the Social Security Act (SSA) to authorize the Secretary of Health and Human Services (SSA) to authorize the Secretary of Health and Human Services (SSA) of the Social Security Act (SSA)"
"90","Educational Tax Credit Simplification Act of 2004 - Amends the Internal Revenue Code to allow a credit against the tax imposed by the taxpayer during the taxable year (for education furnished to an individual during the taxable year (for education furnished to an individual during any academic period beginning in such taxable"
"91","Department of the Interior Reform and Savings Act of 1993 - Amends the Helium Act Amendments of 1960 to direct the Minerals Management Service. Royalty Management Program. to develop and implement an automated business information system to provide to its auditors a lease history that includes reference. royalty."
"92","Academic and Reward Future Math and Science Teachers of America Act of 2000 - Amends the Elementary and Secondary Education Act of 1965 to authorize the Secretary of Education to award funds for National Math and Science Teacher Scholarships on a competitive basis to qualifying higher education institutions with graduate programs to provide 500 scholarship awards to"
"93","Irishation Subsidy Reduction Act of 1996 - Amends the Reclamation Reform Act of 1982 to prohibit the Federal reclamation Reform Act of 1982 to prohibit the Federal reclamation Reform Act of 1982 to prohibit the Federal reclamation Reform Act of 1982 to prohibit the Federal reclamation Reform Act"
"94","Hospital Price Disclosure Act of 2005 - Ambulatory Surgical Centers and Public Posting. Requires the Secretary of Health and Human Services (HHS) to report to the Secretary of Health and Human Services to report to the Secretary of Health and Human Services to report to the Secretary of Health and"
"95","Preserving Equitable Access to Community-based Home Health (PEACH) Act of 2009 - Amends title XVIII (Medicare) of the Social Security Act to require the Secretary of Health and Human Services (HHS) to designate a Home Health agency (PEACH agency"
"96","Long Island Sound Stewardship Act of 2004 - Establishes the Long Island Sound Stewardship System regions to encompass the immediate coastal upland and underwater areas along Long Island Sound. Requires the Chairperson of the Long Island Sound Stewardship System regions to encompass the immediate coastal upl"
"97","Strengthening the Transition and Reintegration of the National Guard and Reserves Act or theSTRONGR Act - Amends the National Guard and Reserves Act or theSTRONGR Act - Amends the National Guard and Reserves Act or theSTRONGR Act - Amend"
"98","Medicare Cash and Counseling Program Act of 2005 - Amends title XIX (Medicaid) of the Social Security Act to authorize the Secretary of Health and Human Services (SSA) to provide. asmedical assistance. payment for part or all of the cost of self-directed personal assistance services"
"99","Manhattan Project National Historical Park Act - Establishes the Manhattan Project National Historical Park."
"100","Ghanaistan and Central Asian Republics Sustainable Food Production Act of 2001 - Directs the Administrator of the U.S. Agency for International Development to provide assistance to nongovernmental organizations for the purpose of carrying out activities related to emergencies or disasters; (2) extend foodproduction. processing. or marketing enterprises through rural"
"101","Radio Broadcasting Preservation Act of 2000 - Directs the Federal Communications Commission (FCC) to modify the rules authorizing the operation of low-power FM radio stations. Requires the Federal Communications Commission (FCC) to modify the rules authorizing the operation of low-power FM radio stations"
"102","Military Readiness Enhancement Act of 2010 - Amends the National Defense Authorization Act for Fiscal Year 1994 (DOD) to not discriminate on the basis of sexual orientation against any member of the armed forces or against any person seeking to become a member of the armed forces or against any"
"103","Selling Main Street FIRST Act or the Put Main Street FIRST Act or the Put Main Street FIRST Act or the Put Main Street FIRST Act or the Put Main Street FIRST Act or the Put Main Street FIRST Act or as the Put Main Street FIRST. Finishing Irresponsible Reckless Specul"
"104","Amends the Internal Revenue Code to authorize the Secretary of the Treasury to: (1) acquire the land on which the facility are to be constructed. Amends the Internal Revenue Code to: (1) allow acquiring the land on which the facility are to be constructed. Amends the Internal Revenue Code to: (1)"
"105","First Responders Support Act of 2008 - Amends the Omnibus Crime Control and Safe Streets Act of 1968 to authorize the Attorney General to promulgate regulations to carry out the amendments of the Omnibus Crime Control and Safe Streets Act of 1968 to authorize the Attorney General to promulgate regulations"
"106","Turkish Human Rights Act - Amends the Foreign Assistance Act of 1961 to direct the Secretary of State to: (1) the Government of Turkey for FY 1998 unless the Secretary of State determines that there Has been significant progress in the following areas: (1) the Government of Turkish permits domestic and international human rights monitoring organizations"
"107","Millenniumrobicide Development Act - Requires the Secretary of Health and Human Services (HHS) to: (1) ensure that mothers are not infected with HIV. Requires the Secretary of Health and Human Services (HHS) and the National Institutes of Health and Human Services (H"
"108","Environmental Finance Act of 1995 - Directs the Administrator of the Environmental Protection Agency to establish an Environmental Financial Advisory Board to provide Expert advice and recommendations to Congress and the Administrator on issues. trends. options. innovations. and tax matters affecting the cost and financing of environmental protection by State and local governments; and"
"109","Threate Terrorists Prosecution Act of 2006 - Amends the Military Commissions Act of 2006 to revise provisions of the Military Commissions Act of 2006 to require the United States Court of Appeals for the Armed Forces. Amends the Military Commissions Act of 2006"
"110","Protectting Consumer Phone Records Act - Authorizes the Secretary of Commerce to: (1) acquire or use the customer proprietary network information of another person without that person's affirmative written consent that meets the requirements of the Electronic Signatures in Global and National Commerce Act to: (1) acquire or use of such other person"
"111","Amends the Federal criminal code to authorize the Secretary of Veterans to conduct a program for honoring the memory of covered individuals by preparing and sending to eligible recipients a certificate bearing the signature of the President and expressing the country's recognition of the covered individual's death. Requires"
"112","National Oceanic and Atmospheric Administration Atmospheric and Satellite Program Authorization Act of 1993 - Authorizes the Secretary of Commerce to allow the National Oceanic and Atmospheric Administration to carry out the operations and research duties of the National Weather Service. Authorizes the"
"113","Amends the Internal Revenue Code to allow a qualified State tuition program to be excluded from taxation of tax onunrelated business income of charitable organizations."
"114","Patient Care Act of 2007 - Amends the Federal criminal code to require the Attorney General of the United States and the Secretary of Health and Human Services to establish and maintain a program to provide to each eligible individual treatment for HIV/AIDS throughout the treatment period. Requires the Attorney General to:"
"115","Trade Accountability Study Act - Establishes the Trade Impact Review Commission to: (1) determine: (1) exports of goods of the United States to NAFTA countries. and imports of goods of the United States to NAFTA countries. Establishes the TraDe Impact Review Commission to: (1)"
"116","Animal Disease Risk Assessment. Prevention. and Control Act of 2001 - Amends the Animal Disease Risk Assessment. Prevention. and Control Act of 2001 - Requires the Secretary of Agriculture (USDA) to require billions of dollars for remedial activities by consumers. producers. and distributors of"
"117","Department of Veterans Affairs Information Security Protection Act - Amends the Federal criminal code to authorize the Secretary of Veterans' Affairs of the Senate and House of Representatives. Amends the Federal criminal code to authorize the Secretary of Homeland Security (DOD) for Addressing Known Information Security Vulnerabil"
"118","College Literacy in Finance and Economics Act of 2011 or the college LIFE Act - Amends the Higher Education Act of 1965 to require the Secretary of Education to provide financial literacy counseling to borrowers on the following two occasions for the first disbursement of a borrower's first"
"119","Amends title XVIII (Medicare) of the Social Security Act to require the Secretary of Health and Human Services (HHS) to: (1) Develop and Application of National Standards for Suppliers of Medical Equipment and Supplies. Amends title XVIII (Medicare) of Medical Equipment"
"120","Cold Energy Research Authorization Act of 1994 - Directs the Secretary of Energy to carry out in accordance with the provisions of the Act a Fusion Energy Research program to replace the Tokamak Fusion Test Reactor which isdesigned to be capable of conducting experiments on reactions with a pulse length of"
"121","Native American Agricultural Research. Development and Export Enhancement Act of 2000 - Amends the Indian Self-Determination and Education Assistance Act to: (1) promote the coordination of existing agricultural and related programs within the Department of Agriculture to provide the maximum benefit to Indian tribes and its members; (2) encourage inter"
"122","High School Sports Information Collection Act of 2009 - Amends the Education Sciences Reform Act of 2002 to direct the Secretary of Education (HHS) to collect. annually. for the immediately preceding academic year. Requires each coeducational secondary school that receives federal financial assistance that has an athletic"
"123","Veterans Refugee Assistance Act - Directs the Secretary of Homeland Security to that of an alien lawfully admitted for permanent residence. Requires the Secretary of Homeland Security to that of an alien lawfully admitted for permanent residence. Directs the Secretary of Homeland Security to that of an alien lawfully admitted for"
"124","Educational and Secondary School Counseling Improvement Act of 2001 - Amends the Elementary and Secondary Education Act of 1965 to authorize the Secretary of Education to award grants to local educational agencies to establish or expand elementary school and secondary school counseling programs. Authorizes the Secretary to award grants to local educational agencies to establish or"
"125","Veterans Faith in Veterans Act of 2008 - Amends the Federal criminal code to require covered employees to successfully complete a certification program established by the Secretary of Veterans Affairs to require covered employees to successfully complete a certification program established by the Secretary of Veterans Affairs (VA) to require covered employees to successfully complete "
"126","Beneficiary Access to Care Act of 2003 - Amends title XVIII (Medicare) of the Social Security Act to require the Secretary of Health and Human Services to treat as a separate group of covered OPD services. Requires the Secretary of Health and Human"
"127","Geneerating American Income and Infrastructure Now Act - Directs the Secretary of Agriculture to sell. under terms established by the Secretary of the Treasury. distressed notes and other obligations held by the Department of Agriculture to sell. under terms established by the Secretary of the Treasury. distressed notes and other obligations held by the Department"
"128","National Youth Summer Jobs Act of 2011 - Directs the Secretary of Labor to award competitive grants to eligible entities for the purpose of providing job placement during the summer for Out-of-school youths. Directs the Secretary of Labor to award competitive grants to eligible entities for the purpose of providing job placement during the"
"129","Freedom from Equifax Exploitation Act - Amends the Fair Credit Reporting Act to require the consumer reporting agency from releasing the consumer report for a purpose relating to the extension of credit without the express authorization of the consumer; (2) the credit freeze shall not apply to the use of "
"130","Medicare Pharmacist Services Coverage Act of 2001 - Amends title XVIII (Medicare) of the Social Security Act to require the Secretary of Health and Human Services (SCHIP benefits Improvement and Protection Act of 2000 (SCHIP) benefits Improvement and Protection Act of 2000 (SCHIP"
